Route_name,Stop_name,Stop_name
L Taraval Bus,Taraval St & 30th Ave,Taraval St & 32nd Ave
L Taraval Bus,Taraval St & 26th Ave,Taraval St & 30th Ave
L Taraval Bus,Taraval St & 22nd Ave,Taraval St & 26th Ave
L Taraval Bus,Taraval St & 19th Ave,Taraval St & 22nd Ave
L Taraval Bus,Taraval St & 17th Ave,Taraval St & 19th Ave
L Taraval Bus,Taraval St & 15th Ave,Taraval St & 17th Ave
L Taraval Bus,Ulloa St & Forest Side Ave,Taraval St & 15th Ave
L Taraval Bus,Ulloa St & West Portal Ave,Ulloa St & Forest Side Ave
L Taraval Bus,Ulloa St & Claremont St,Ulloa St & West Portal Ave
L Taraval Bus,Portola Dr & Teresita Blvd,Ulloa St & Claremont St
L Taraval Bus,Portola Dr & Clipper St,Portola Dr & Teresita Blvd
L Taraval Bus,Market St & Clayton St,Portola Dr & Clipper St
L Taraval Bus,Market St & Castro St,Market St & Clayton St
L Taraval Bus,Market St & Noe St,Market St & Castro St
L Taraval Bus,Market St & Sanchez St,Market St & Noe St
L Taraval Bus,Market St & Church St,Market St & Sanchez St
L Taraval Bus,Market St & Dolores St,Market St & Church St
L Taraval Bus,Market St & Guerrero St,Market St & Dolores St
L Taraval Bus,Market St & Gough St,Market St & Guerrero St
L Taraval Bus,Market St & South Van Ness Ave,Market St & Gough St
L Taraval Bus,Market St & 9th St,Market St & South Van Ness Ave
L Taraval Bus,Market St & 8th St,Market St & 9th St
L Taraval Bus,Market St & 7th St,Market St & 8th St
L Taraval Bus,Market St & 6th St,Market St & 7th St
L Taraval Bus,Market St & 5th St,Market St & 6th St
L Taraval Bus,Market St & 4th St,Market St & 5th St
L Taraval Bus,Market St & 3rd St,Market St & 4th St
L Taraval Bus,Market St & New Montgomery St,Market St & 3rd St
L Taraval Bus,Market St & 1st St,Market St & New Montgomery St
L Taraval Bus,Market St & Beale St,Market St & 1st St
L Taraval Bus,Spear St & Market St,Market St & Beale St
L Taraval Bus,Steuart St & Mission St,Spear St & Market St
L Taraval Bus,Steuart St & Market St,Steuart St & Mission St
L Taraval Bus,Market St & Drumm St,Steuart St & Market St
L Taraval Bus,Market St & Battery St,Market St & Drumm St
L Taraval Bus,Market St & 2nd St,Market St & Battery St
L Taraval Bus,Market St & Kearny St,Market St & 2nd St
L Taraval Bus,Market St & Stockton St,Market St & Kearny St
L Taraval Bus,Market St & 5th  St,Market St & Stockton St
L Taraval Bus,Market St & Taylor St,Market St & 5th  St
L Taraval Bus,Market St & 7th St,Market St & Taylor St
L Taraval Bus,Market St & Hyde St,Market St & 7th St
L Taraval Bus,Market St & Larkin St,Market St & Hyde St
L Taraval Bus,Market St & Van Ness Ave,Market St & Larkin St
L Taraval Bus,Market St & Gough St,Market St & Van Ness Ave
L Taraval Bus,Market St & Laguna St,Market St & Gough St
L Taraval Bus,Market St & Buchanan St,Market St & Laguna St
L Taraval Bus,Market St & Church St,Market St & Buchanan St
L Taraval Bus,Market St & Sanchez St,Market St & Church St
L Taraval Bus,Market St & 16th St,Market St & Sanchez St
L Taraval Bus,Market St & Castro St,Market St & 16th St
L Taraval Bus,Market St & Clayton St,Market St & Castro St
L Taraval Bus,Portola Dr & Burnett Ave,Market St & Clayton St
L Taraval Bus,Woodside Ave & Portola Dr,Portola Dr & Burnett Ave
L Taraval Bus,Ulloa St & Lenox Way,Woodside Ave & Portola Dr
L Taraval Bus,Ulloa St & Forest Side Ave,Ulloa St & Lenox Way
L Taraval Bus,15th Ave & Taraval St,Ulloa St & Forest Side Ave
