to,from,CoordsFromLat,CoordsFromLong,CoordsToLat,CoordsToLong
19th Ave & Winston Dr,Right Of Way/Eucalyptus Dr,37.72719955,-122.47499847,37.73120117,-122.47399902
Right Of Way/Eucalyptus Dr,Right Of Way/Ocean Ave,37.73120117,-122.47399902,37.73199844,-122.47399902
Right Of Way/Ocean Ave,West Portal Ave & Sloat Blvd,37.73199844,-122.47399902,37.73500061,-122.47100067
West Portal Ave & Sloat Blvd,Right Of Way/Ocean Ave,37.73500061,-122.47100067,37.73199844,-122.47399902
Right Of Way/Ocean Ave,Right Of Way/Eucalyptus Dr,37.73199844,-122.47399902,37.73120117,-122.47399902
Right Of Way/Eucalyptus Dr,19th Ave & Winston Dr,37.73120117,-122.47399902,37.72719955,-122.47499847
19th Ave & Winston Dr,19th Ave & Holloway Ave,37.72719955,-122.47499847,37.72109985,-122.47499847
19th Ave & Holloway Ave,19th Ave & Randolph St,37.72109985,-122.47499847,37.71620178,-122.47200012
19th Ave & Randolph St,Randolph St & Arch St,37.71620178,-122.47200012,37.71429825,-122.46700287
Randolph St & Arch St,Randolph St & Bright St,37.71429825,-122.46700287,37.71429825,-122.46299744
Randolph St & Bright St,Orizaba Ave & Broad St,37.71429825,-122.46299744,37.71329880,-122.46299744
Orizaba Ave & Broad St,Broad St & Capitol Ave,37.71329880,-122.46299744,37.71319962,-122.45899963
Broad St & Capitol Ave,Broad St & Plymouth Ave,37.71319962,-122.45899963,37.71319962,-122.45600128
Broad St & Plymouth Ave,San Jose Ave & Farallones St,37.71319962,-122.45600128,37.71419907,-122.45200348
San Jose Ave & Farallones St,San Jose Ave & Lakeview Ave,37.71419907,-122.45200348,37.71630096,-122.44999695
San Jose Ave & Lakeview Ave,San Jose Ave & Mt Vernon Ave,37.71630096,-122.44999695,37.71849823,-122.44899750
San Jose Ave & Mt Vernon Ave,San Jose Ave & Niagra Ave,37.71849823,-122.44899750,37.71950150,-122.44699860
San Jose Ave & Niagra Ave,San Jose Ave & Geneva Ave,37.71950150,-122.44699860,37.72119904,-122.44599915
19th Ave & Winston Dr,19th Ave & Eucalyptus Dr,37.72719955,-122.47499847,37.73080063,-122.47499847
19th Ave & Eucalyptus Dr,Ocean Ave & Muni Right of Way,37.73080063,-122.47499847,37.73189926,-122.47399902
Ocean Ave & Muni Right of Way,West Portal Ave & Sloat Blvd,37.73189926,-122.47399902,37.73500061,-122.47100067
Ulloa St & West Portal Ave,West Portal Ave & 14th Ave,37.74100113,-122.46600342,37.73789978,-122.46900177
Junipero Serra Blvd & Sloat Blvd,Ocean Ave & Muni Right of Way,37.73429871,-122.47200012,37.73189926,-122.47399902
Ocean Ave & Muni Right of Way,19th Ave & Eucalyptus Dr,37.73189926,-122.47399902,37.73080063,-122.47499847
19th Ave & Eucalyptus Dr,19th Ave & Winston Dr,37.73080063,-122.47499847,37.72719955,-122.47499847
San Jose Ave & Niagra Ave,Geneva Ave/Balboa Park BART,37.71950150,-122.44699860,37.72079849,-122.44699860
Judah St & La Playa St,Judah St & 46th Ave,37.76039886,-122.50900269,37.76050186,-122.50599670
Judah St & 46th Ave,Judah St & 43rd Ave,37.76050186,-122.50599670,37.76060104,-122.50299835
Judah St & 43rd Ave,Judah St & 40th Ave,37.76060104,-122.50299835,37.76070023,-122.49900055
