RouteName, Coords
Walking Distance, "MULTILINESTRING ((-122.413 37.7953, -122.412 37.7962))"
Walking Distance, "MULTILINESTRING ((-122.423 37.794, -122.423 37.7947))"
Walking Distance, "MULTILINESTRING ((-122.423 37.794, -122.423 37.7948))"
Walking Distance, "MULTILINESTRING ((-122.423 37.794, -122.421 37.7942))"
Walking Distance, "MULTILINESTRING ((-122.423 37.794, -122.421 37.7935))"
Walking Distance, "MULTILINESTRING ((-122.433 37.7927, -122.435 37.7925))"
Walking Distance, "MULTILINESTRING ((-122.433 37.7927, -122.433 37.7917))"
Walking Distance, "MULTILINESTRING ((-122.433 37.7927, -122.435 37.7928))"
Walking Distance, "MULTILINESTRING ((-122.433 37.7927, -122.435 37.7942))"
Walking Distance, "MULTILINESTRING ((-122.478 37.7187, -122.48 37.7196))"
Walking Distance, "MULTILINESTRING ((-122.478 37.7187, -122.476 37.7167))"
Walking Distance, "MULTILINESTRING ((-122.478 37.7187, -122.479 37.7185))"
Walking Distance, "MULTILINESTRING ((-122.478 37.7187, -122.477 37.7177))"
Walking Distance, "MULTILINESTRING ((-122.478 37.7187, -122.476 37.7201))"
Walking Distance, "MULTILINESTRING ((-122.451 37.7284, -122.449 37.7285))"
Walking Distance, "MULTILINESTRING ((-122.451 37.7284, -122.452 37.7276))"
Walking Distance, "MULTILINESTRING ((-122.451 37.7284, -122.451 37.73))"
Walking Distance, "MULTILINESTRING ((-122.451 37.7284, -122.449 37.7298))"
Walking Distance, "MULTILINESTRING ((-122.451 37.7284, -122.451 37.7315))"
Walking Distance, "MULTILINESTRING ((-122.444 37.8046, -122.444 37.8038))"
Walking Distance, "MULTILINESTRING ((-122.444 37.8046, -122.445 37.8043))"
Walking Distance, "MULTILINESTRING ((-122.444 37.8046, -122.445 37.8034))"
Walking Distance, "MULTILINESTRING ((-122.444 37.8046, -122.444 37.8028))"
Walking Distance, "MULTILINESTRING ((-122.413 37.8086, -122.416 37.8083))"
Walking Distance, "MULTILINESTRING ((-122.413 37.8086, -122.413 37.808))"
Walking Distance, "MULTILINESTRING ((-122.413 37.8086, -122.414 37.8074))"
Walking Distance, "MULTILINESTRING ((-122.413 37.8086, -122.411 37.8078))"
Walking Distance, "MULTILINESTRING ((-122.416 37.8083, -122.417 37.8071))"
Walking Distance, "MULTILINESTRING ((-122.416 37.8083, -122.414 37.8074))"
Walking Distance, "MULTILINESTRING ((-122.416 37.8083, -122.413 37.8086))"
Walking Distance, "MULTILINESTRING ((-122.416 37.8083, -122.414 37.8066))"
Walking Distance, "MULTILINESTRING ((-122.417 37.8071, -122.414 37.8074))"
Walking Distance, "MULTILINESTRING ((-122.417 37.8071, -122.417 37.8062))"
Walking Distance, "MULTILINESTRING ((-122.417 37.8071, -122.418 37.8055))"
Walking Distance, "MULTILINESTRING ((-122.417 37.8071, -122.418 37.8055))"
Walking Distance, "MULTILINESTRING ((-122.413 37.7869, -122.413 37.7857))"
Walking Distance, "MULTILINESTRING ((-122.413 37.7869, -122.413 37.7868))"
Walking Distance, "MULTILINESTRING ((-122.413 37.7869, -122.413 37.7878))"
Walking Distance, "MULTILINESTRING ((-122.413 37.7869, -122.415 37.7874))"
Walking Distance, "MULTILINESTRING ((-122.413 37.7878, -122.413 37.7869))"
Walking Distance, "MULTILINESTRING ((-122.413 37.7878, -122.414 37.7887))"
Walking Distance, "MULTILINESTRING ((-122.413 37.7878, -122.415 37.7874))"
Walking Distance, "MULTILINESTRING ((-122.413 37.7878, -122.411 37.7879))"
Walking Distance, "MULTILINESTRING ((-122.414 37.7887, -122.413 37.7878))"
Walking Distance, "MULTILINESTRING ((-122.414 37.7887, -122.414 37.7886))"
Walking Distance, "MULTILINESTRING ((-122.414 37.7887, -122.415 37.7884))"
Walking Distance, "MULTILINESTRING ((-122.414 37.7887, -122.415 37.7874))"
Walking Distance, "MULTILINESTRING ((-122.462 37.7623, -122.461 37.7627))"
Walking Distance, "MULTILINESTRING ((-122.462 37.7623, -122.463 37.7624))"
Walking Distance, "MULTILINESTRING ((-122.462 37.7623, -122.461 37.7625))"
Walking Distance, "MULTILINESTRING ((-122.462 37.7623, -122.464 37.7623))"
Walking Distance, "MULTILINESTRING ((-122.463 37.7624, -122.464 37.7623))"
Walking Distance, "MULTILINESTRING ((-122.463 37.7624, -122.462 37.7623))"
Walking Distance, "MULTILINESTRING ((-122.463 37.7624, -122.461 37.7625))"
Walking Distance, "MULTILINESTRING ((-122.463 37.7624, -122.465 37.7621))"
Walking Distance, "MULTILINESTRING ((-122.464 37.7623, -122.462 37.7623))"
Walking Distance, "MULTILINESTRING ((-122.464 37.7623, -122.466 37.7621))"
Walking Distance, "MULTILINESTRING ((-122.464 37.7623, -122.465 37.7621))"
Walking Distance, "MULTILINESTRING ((-122.464 37.7623, -122.463 37.7624))"
Walking Distance, "MULTILINESTRING ((-122.464 37.7623, -122.467 37.7622))"
Walking Distance, "MULTILINESTRING ((-122.467 37.7622, -122.465 37.764))"
Walking Distance, "MULTILINESTRING ((-122.467 37.7622, -122.469 37.7621))"
Walking Distance, "MULTILINESTRING ((-122.467 37.7622, -122.466 37.7621))"
