id, name, lat, long
523,45th Ave & Cabrillo St,37.7736,-122.506
524,46th Ave & Irving St,37.7624,-122.506
525,46th Ave & Judah St,37.7605,-122.506
526,46th Ave & Kirkham St,37.7587,-122.506
527,46th Ave & Lawton St,37.7568,-122.506
528,46th Ave & Lincoln Way,37.764,-122.506
529,46th Ave & Moraga St,37.7549,-122.506
530,46th Ave & Noriega St,37.7528,-122.505
531,46th Ave & Ortega St,37.7512,-122.505
532,46th Ave & Pacheco St,37.7493,-122.505
533,46th Ave & Quintara St,37.7475,-122.505
534,46th Ave & Rivera St,37.7456,-122.505
535,46th Ave & Santiago St,37.7437,-122.505
536,46th Ave & Taraval St,37.7419,-122.505
537,46th Ave & Ulloa St,37.74,-122.505
538,46th Ave & Vicente St,37.7381,-122.504
539,46th Ave & Wawona St,37.7361,-122.504
540,47th Ave & Wawona St,37.736,-122.505
541,48th Ave & Point Lobos Ave,37.779,-122.509
542,Cyril Magnin St & Market St,37.784,-122.408
543,46 Addison St,37.7377,-122.431
544,164 Addison St,37.7382,-122.433
545,Addison St & Diamond Heights Blvd,37.74,-122.436
546,Addison St & Digby St,37.74,-122.434
547,Addison St & Farnum St,37.7402,-122.434
548,Alana Way & Executive Park Blvd,37.709,-122.394
549,Alemany Blvd & Arch St,37.7116,-122.467
550,Bryant St & 6th St,37.7762,-122.402
551,Bryant St & 16th St,37.7655,-122.41
552,Bryant St & 17th St,37.7642,-122.41
553,Bryant St & 18th St,37.7619,-122.41
554,Bryant St & 19th St,37.7606,-122.41
555,Bryant St & 20th St,37.7593,-122.41
556,Bryant St & 21st St,37.7575,-122.41
557,Bryant St & 22nd St,37.7562,-122.409
558,Bryant St & 23rd St,37.7543,-122.409
559,Bryant St & 24th St,37.7529,-122.409
560,Bryant St & 25th St,37.7513,-122.409
561,Bryant St & 26th St,37.7497,-122.409
562,Bryant St & Mariposa St,37.7631,-122.41
563,Brazil Ave & Athens St,37.7216,-122.428
564,Brazil Ave & Madrid St,37.7231,-122.432
565,Brazil Ave & Mission St,37.7247,-122.435
566,Brazil Ave & Moscow St,37.7212,-122.427
567,Brazil Ave & Munich St,37.7209,-122.427
