to,from,CoordsFromLat,CoordsFromLong,CoordsToLat,CoordsToLong
Woodside Ave & Balceta Ave,Woodside Ave & Hernandez Ave,37.74649048,-122.45644379,37.74637985,-122.45535278
Woodside Ave & Hernandez Ave,Woodside Ave & Ulloa St,37.74637985,-122.45535278,37.74576569,-122.45382690
Woodside Ave & Ulloa St,Woodside Ave & Portola Dr,37.74576569,-122.45382690,37.74576569,-122.45243073
Woodside Ave & Portola Dr,Portola Dr & Glenview Dr,37.74576569,-122.45243073,37.74646378,-122.44791412
Portola Dr & Glenview Dr,Portola Dr & Clipper St,37.74646378,-122.44791412,37.74715042,-122.44419861
Steuart St & Don Chee Way,Steuart St & Market St,37.79376602,-122.39372253,37.79441071,-122.39453888
Market St & Castro St,6 Portola Dr,37.76292038,-122.43460846,37.74995041,-122.44348145
6 Portola Dr,120 Portola Dr,37.74995041,-122.44348145,37.74897003,-122.44396210
120 Portola Dr,Portola Dr & Burnett Ave,37.74897003,-122.44396210,37.74703217,-122.44487000
Portola Dr & Burnett Ave,Portola Dr & Glenview Dr,37.74703217,-122.44487000,37.74646378,-122.44791412
Portola Dr & Glenview Dr,Woodside Ave & Portola Dr,37.74646378,-122.44791412,37.74576569,-122.45243073
Woodside Ave & Portola Dr,Woodside Ave & Ulloa St,37.74576569,-122.45243073,37.74576569,-122.45382690
Woodside Ave & Ulloa St,Woodside Ave & Hernandez Ave,37.74576569,-122.45382690,37.74637985,-122.45535278
Woodside Ave & Hernandez Ave,Ulloa St & Lenox Way,37.74637985,-122.45535278,37.74112320,-122.46615601
Ulloa St & Lenox Way,Ulloa St & Forest Side Ave,37.74112320,-122.46615601,37.74153519,-122.46846771
Ulloa St & Forest Side Ave,15th Ave & Taraval St,37.74153519,-122.46846771,37.74312210,-122.47129822
15th Ave & Taraval St,Taraval St & 19th Ave,37.74312210,-122.47129822,37.74311066,-122.47544098
Taraval St & 19th Ave,Taraval St & 23rd Ave,37.74311066,-122.47544098,37.74287033,-122.48045349
Taraval St & 23rd Ave,Taraval St & 26th Ave,37.74287033,-122.48045349,37.74277878,-122.48307037
Taraval St & 26th Ave,Taraval St & 30th Ave,37.74277878,-122.48307037,37.74259186,-122.48733521
Taraval St & 30th Ave,Taraval St & 32nd Ave,37.74259186,-122.48733521,37.74248886,-122.48948669
Taraval St & 32nd Ave,Taraval St & Sunset Blvd,37.74248886,-122.48948669,37.74228668,-122.49436188
Taraval St & Sunset Blvd,Taraval St & 40th Ave,37.74228668,-122.49436188,37.74212265,-122.49805450
Taraval St & 40th Ave,Taraval St & 42nd Ave,37.74212265,-122.49805450,37.74201965,-122.50019836
Taraval St & 42nd Ave,Taraval St & 44th Ave,37.74201965,-122.50019836,37.74192429,-122.50234222
Taraval St & 44th Ave,Taraval St & 46th Ave,37.74192429,-122.50234222,37.74182129,-122.50449371
Taraval St & 46th Ave,46th Ave & Ulloa St,37.74182129,-122.50449371,37.73999786,-122.50457764
46th Ave & Ulloa St,46th Ave & Vicente St,37.73999786,-122.50457764,37.73814011,-122.50444031
46th Ave & Vicente St,Vicente St & 47th Ave,37.73814011,-122.50444031,37.73807907,-122.50531006
Vicente St & 47th Ave,46th Ave & Wawona St,37.73807907,-122.50531006,37.73610687,-122.50414276
Taraval St & 17th Ave,Taraval St & 15th Ave,37.74306870,-122.47366333,37.74317551,-122.47118378
Taraval St & 15th Ave,Ulloa St & Forest Side Ave,37.74317551,-122.47118378,37.74153519,-122.46846771
Ulloa St & West Portal Ave,Ulloa St & Claremont Blvd,37.74100876,-122.46616364,37.74076080,-122.46540833
Ulloa St & Claremont Blvd,Portola Dr & O Shaughnessy Blvd,37.74076080,-122.46540833,37.74534607,-122.45182037
Spear St & Market St,Steuart St & Mission St,37.79339981,-122.39527893,37.79427338,-122.39442444
Steuart St & Mission St,Steuart St & Market St,37.79427338,-122.39442444,37.79441071,-122.39453888
Woodside Ave & Portola Dr,Ulloa St & Lenox Way,37.74576569,-122.45243073,37.74112320,-122.46615601
San Jose Ave & Geneva Ave,San Jose Ave & Mt Vernon Ave,37.72123718,-122.44622040,37.71847153,-122.44863892
San Jose Ave & Mt Vernon Ave,San Jose Ave & Lakeview Ave,37.71847153,-122.44863892,37.71633148,-122.45037079
San Jose Ave & Lakeview Ave,San Jose Ave & Farallones St,37.71633148,-122.45037079,37.71415329,-122.45214844
San Jose Ave & Farallones St,Broad St & Plymouth Ave,37.71415329,-122.45214844,37.71322250,-122.45592499
Broad St & Plymouth Ave,Broad St & Capitol Ave,37.71322250,-122.45592499,37.71319199,-122.45892334
Broad St & Capitol Ave,Broad St & Orizaba Ave,37.71319199,-122.45892334,37.71317673,-122.46233368
Broad St & Orizaba Ave,Randolph St & Bright St,37.71317673,-122.46233368,37.71434784,-122.46339417
Randolph St & Bright St,Randolph St & Arch St,37.71434784,-122.46339417,37.71434021,-122.46697998
Randolph St & Arch St,19th Ave & Randolph St,37.71434021,-122.46697998,37.71620178,-122.47167206
19th Ave & Randolph St,19th Ave & Junipero Serra Blvd,37.71620178,-122.47167206,37.71688843,-122.47227478
19th Ave & Junipero Serra Blvd,19th Ave & Holloway Ave,37.71688843,-122.47227478,37.72111130,-122.47530365
19th Ave & Holloway Ave,19th Ave & Winston Dr,37.72111130,-122.47530365,37.72718811,-122.47467804
19th Ave & Winston Dr,Right Of Way/Eucalyptus Dr,37.72718811,-122.47467804,37.73118973,-122.47434998
Right Of Way/Eucalyptus Dr,Right Of Way/Ocean Ave,37.73118973,-122.47434998,37.73202133,-122.47371674
Right Of Way/Ocean Ave,West Portal Ave & Sloat Blvd,37.73202133,-122.47371674,37.73503876,-122.47134399
West Portal Ave & Sloat Blvd,Right Of Way/Ocean Ave,37.73503876,-122.47134399,37.73202133,-122.47371674
Right Of Way/Ocean Ave,Right Of Way/Eucalyptus Dr,37.73202133,-122.47371674,37.73118973,-122.47434998
Right Of Way/Eucalyptus Dr,19th Ave & Winston Dr,37.73118973,-122.47434998,37.72718811,-122.47467804
19th Ave & Winston Dr,19th Ave & Holloway Ave,37.72718811,-122.47467804,37.72111130,-122.47530365
19th Ave & Holloway Ave,19th Ave & Randolph St,37.72111130,-122.47530365,37.71620178,-122.47167206
19th Ave & Randolph St,Randolph St & Arch St,37.71620178,-122.47167206,37.71434021,-122.46697998
Randolph St & Arch St,Randolph St & Bright St,37.71434021,-122.46697998,37.71434784,-122.46339417
Randolph St & Bright St,Orizaba Ave & Broad St,37.71434784,-122.46339417,37.71332932,-122.46258545
Orizaba Ave & Broad St,Broad St & Capitol Ave,37.71332932,-122.46258545,37.71319199,-122.45892334
Broad St & Capitol Ave,Broad St & Plymouth Ave,37.71319199,-122.45892334,37.71322250,-122.45592499
Broad St & Plymouth Ave,San Jose Ave & Farallones St,37.71322250,-122.45592499,37.71415329,-122.45214844
San Jose Ave & Farallones St,San Jose Ave & Lakeview Ave,37.71415329,-122.45214844,37.71633148,-122.45037079
San Jose Ave & Lakeview Ave,San Jose Ave & Mt Vernon Ave,37.71633148,-122.45037079,37.71847153,-122.44863892
San Jose Ave & Mt Vernon Ave,San Jose Ave & Niagra Ave,37.71847153,-122.44863892,37.71950531,-122.44745636
San Jose Ave & Niagra Ave,San Jose Ave & Geneva Ave,37.71950531,-122.44745636,37.72123718,-122.44622040
19th Ave & Winston Dr,19th Ave & Eucalyptus Dr,37.72718811,-122.47467804,37.73081207,-122.47501373
19th Ave & Eucalyptus Dr,Ocean Ave & Muni Right of Way,37.73081207,-122.47501373,37.73193359,-122.47365570
Ocean Ave & Muni Right of Way,West Portal Ave & Sloat Blvd,37.73193359,-122.47365570,37.73503876,-122.47134399
Ulloa St & West Portal Ave,West Portal Ave & 14th Ave,37.74100876,-122.46616364,37.73785019,-122.46914673
Junipero Serra Blvd & Sloat Blvd,Ocean Ave & Muni Right of Way,37.73430634,-122.47167206,37.73193359,-122.47365570
Ocean Ave & Muni Right of Way,19th Ave & Eucalyptus Dr,37.73193359,-122.47365570,37.73081207,-122.47501373
19th Ave & Eucalyptus Dr,19th Ave & Winston Dr,37.73081207,-122.47501373,37.72718811,-122.47467804
San Jose Ave & Niagra Ave,Geneva Ave/Balboa Park BART,37.71950531,-122.44745636,37.72080231,-122.44673920
Judah St & La Playa St,Judah St & 46th Ave,37.76036453,-122.50901031,37.76049423,-122.50582886
Judah St & 46th Ave,Judah St & 43rd Ave,37.76049423,-122.50582886,37.76059723,-122.50257111
Judah St & 43rd Ave,Judah St & 40th Ave,37.76059723,-122.50257111,37.76074219,-122.49935913
